anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,2,IT,quantile,0.01,-1,3.1464,ILI+_FLU_A
2025,2,IT,quantile,0.01,0,3.74,ILI+_FLU_A
2025,2,IT,quantile,0.01,1,4.2335,ILI+_FLU_A
2025,2,IT,quantile,0.01,2,4.332,ILI+_FLU_A
2025,2,IT,quantile,0.01,3,4.1463,ILI+_FLU_A
2025,2,IT,quantile,0.01,4,3.594,ILI+_FLU_A
2025,2,IT,quantile,0.025,-1,3.2288,ILI+_FLU_A
2025,2,IT,quantile,0.025,0,3.9109,ILI+_FLU_A
2025,2,IT,quantile,0.025,1,4.4041,ILI+_FLU_A
2025,2,IT,quantile,0.025,2,4.5585,ILI+_FLU_A
2025,2,IT,quantile,0.025,3,4.3238,ILI+_FLU_A
2025,2,IT,quantile,0.025,4,3.8771,ILI+_FLU_A
2025,2,IT,quantile,0.05,-1,3.2798,ILI+_FLU_A
2025,2,IT,quantile,0.05,0,4.0239,ILI+_FLU_A
2025,2,IT,quantile,0.05,1,4.6152,ILI+_FLU_A
2025,2,IT,quantile,0.05,2,4.8383,ILI+_FLU_A
2025,2,IT,quantile,0.05,3,4.6085,ILI+_FLU_A
2025,2,IT,quantile,0.05,4,4.0523,ILI+_FLU_A
2025,2,IT,quantile,0.1,-1,3.3707,ILI+_FLU_A
2025,2,IT,quantile,0.1,0,4.1697,ILI+_FLU_A
2025,2,IT,quantile,0.1,1,4.8227,ILI+_FLU_A
2025,2,IT,quantile,0.1,2,5.1276,ILI+_FLU_A
2025,2,IT,quantile,0.1,3,4.9623,ILI+_FLU_A
2025,2,IT,quantile,0.1,4,4.4302,ILI+_FLU_A
2025,2,IT,quantile,0.15,-1,3.4526,ILI+_FLU_A
2025,2,IT,quantile,0.15,0,4.2633,ILI+_FLU_A
2025,2,IT,quantile,0.15,1,4.9718,ILI+_FLU_A
2025,2,IT,quantile,0.15,2,5.3237,ILI+_FLU_A
2025,2,IT,quantile,0.15,3,5.1903,ILI+_FLU_A
2025,2,IT,quantile,0.15,4,4.7201,ILI+_FLU_A
2025,2,IT,quantile,0.2,-1,3.5238,ILI+_FLU_A
2025,2,IT,quantile,0.2,0,4.3804,ILI+_FLU_A
2025,2,IT,quantile,0.2,1,5.1121,ILI+_FLU_A
2025,2,IT,quantile,0.2,2,5.5188,ILI+_FLU_A
2025,2,IT,quantile,0.2,3,5.4317,ILI+_FLU_A
2025,2,IT,quantile,0.2,4,4.9701,ILI+_FLU_A
2025,2,IT,quantile,0.25,-1,3.5768,ILI+_FLU_A
2025,2,IT,quantile,0.25,0,4.4567,ILI+_FLU_A
2025,2,IT,quantile,0.25,1,5.1968,ILI+_FLU_A
2025,2,IT,quantile,0.25,2,5.6565,ILI+_FLU_A
2025,2,IT,quantile,0.25,3,5.6527,ILI+_FLU_A
2025,2,IT,quantile,0.25,4,5.2276,ILI+_FLU_A
2025,2,IT,quantile,0.3,-1,3.6177,ILI+_FLU_A
2025,2,IT,quantile,0.3,0,4.5226,ILI+_FLU_A
2025,2,IT,quantile,0.3,1,5.3049,ILI+_FLU_A
2025,2,IT,quantile,0.3,2,5.7869,ILI+_FLU_A
2025,2,IT,quantile,0.3,3,5.8638,ILI+_FLU_A
2025,2,IT,quantile,0.3,4,5.4878,ILI+_FLU_A
2025,2,IT,quantile,0.35,-1,3.6524,ILI+_FLU_A
2025,2,IT,quantile,0.35,0,4.5803,ILI+_FLU_A
2025,2,IT,quantile,0.35,1,5.3878,ILI+_FLU_A
2025,2,IT,quantile,0.35,2,5.924,ILI+_FLU_A
2025,2,IT,quantile,0.35,3,6.0362,ILI+_FLU_A
2025,2,IT,quantile,0.35,4,5.6963,ILI+_FLU_A
2025,2,IT,quantile,0.4,-1,3.6738,ILI+_FLU_A
2025,2,IT,quantile,0.4,0,4.6275,ILI+_FLU_A
2025,2,IT,quantile,0.4,1,5.4757,ILI+_FLU_A
2025,2,IT,quantile,0.4,2,6.0629,ILI+_FLU_A
2025,2,IT,quantile,0.4,3,6.2692,ILI+_FLU_A
2025,2,IT,quantile,0.4,4,5.9229,ILI+_FLU_A
2025,2,IT,quantile,0.45,-1,3.6975,ILI+_FLU_A
2025,2,IT,quantile,0.45,0,4.6794,ILI+_FLU_A
2025,2,IT,quantile,0.45,1,5.5613,ILI+_FLU_A
2025,2,IT,quantile,0.45,2,6.1776,ILI+_FLU_A
2025,2,IT,quantile,0.45,3,6.3911,ILI+_FLU_A
2025,2,IT,quantile,0.45,4,6.1389,ILI+_FLU_A
2025,2,IT,quantile,0.5,-1,3.7203,ILI+_FLU_A
2025,2,IT,quantile,0.5,0,4.731,ILI+_FLU_A
2025,2,IT,quantile,0.5,1,5.6348,ILI+_FLU_A
2025,2,IT,quantile,0.5,2,6.292,ILI+_FLU_A
2025,2,IT,quantile,0.5,3,6.53,ILI+_FLU_A
2025,2,IT,quantile,0.5,4,6.3099,ILI+_FLU_A
2025,2,IT,quantile,0.55,-1,3.7427,ILI+_FLU_A
2025,2,IT,quantile,0.55,0,4.7765,ILI+_FLU_A
2025,2,IT,quantile,0.55,1,5.7224,ILI+_FLU_A
2025,2,IT,quantile,0.55,2,6.4093,ILI+_FLU_A
2025,2,IT,quantile,0.55,3,6.7029,ILI+_FLU_A
2025,2,IT,quantile,0.55,4,6.5601,ILI+_FLU_A
2025,2,IT,quantile,0.6,-1,3.7611,ILI+_FLU_A
2025,2,IT,quantile,0.6,0,4.8159,ILI+_FLU_A
2025,2,IT,quantile,0.6,1,5.7909,ILI+_FLU_A
2025,2,IT,quantile,0.6,2,6.5461,ILI+_FLU_A
2025,2,IT,quantile,0.6,3,6.8935,ILI+_FLU_A
2025,2,IT,quantile,0.6,4,6.7878,ILI+_FLU_A
2025,2,IT,quantile,0.65,-1,3.7781,ILI+_FLU_A
2025,2,IT,quantile,0.65,0,4.8505,ILI+_FLU_A
2025,2,IT,quantile,0.65,1,5.8845,ILI+_FLU_A
2025,2,IT,quantile,0.65,2,6.6739,ILI+_FLU_A
2025,2,IT,quantile,0.65,3,7.0371,ILI+_FLU_A
2025,2,IT,quantile,0.65,4,7.0196,ILI+_FLU_A
2025,2,IT,quantile,0.7,-1,3.7963,ILI+_FLU_A
2025,2,IT,quantile,0.7,0,4.9029,ILI+_FLU_A
2025,2,IT,quantile,0.7,1,5.9823,ILI+_FLU_A
2025,2,IT,quantile,0.7,2,6.8036,ILI+_FLU_A
2025,2,IT,quantile,0.7,3,7.2818,ILI+_FLU_A
2025,2,IT,quantile,0.7,4,7.247,ILI+_FLU_A
2025,2,IT,quantile,0.75,-1,3.8151,ILI+_FLU_A
2025,2,IT,quantile,0.75,0,4.9608,ILI+_FLU_A
2025,2,IT,quantile,0.75,1,6.0909,ILI+_FLU_A
2025,2,IT,quantile,0.75,2,6.9738,ILI+_FLU_A
2025,2,IT,quantile,0.75,3,7.5142,ILI+_FLU_A
2025,2,IT,quantile,0.75,4,7.5711,ILI+_FLU_A
2025,2,IT,quantile,0.8,-1,3.8393,ILI+_FLU_A
2025,2,IT,quantile,0.8,0,5.0103,ILI+_FLU_A
2025,2,IT,quantile,0.8,1,6.1649,ILI+_FLU_A
2025,2,IT,quantile,0.8,2,7.1278,ILI+_FLU_A
2025,2,IT,quantile,0.8,3,7.71,ILI+_FLU_A
2025,2,IT,quantile,0.8,4,7.8558,ILI+_FLU_A
2025,2,IT,quantile,0.85,-1,3.8664,ILI+_FLU_A
2025,2,IT,quantile,0.85,0,5.0783,ILI+_FLU_A
2025,2,IT,quantile,0.85,1,6.2863,ILI+_FLU_A
2025,2,IT,quantile,0.85,2,7.3093,ILI+_FLU_A
2025,2,IT,quantile,0.85,3,7.9243,ILI+_FLU_A
2025,2,IT,quantile,0.85,4,8.2855,ILI+_FLU_A
2025,2,IT,quantile,0.9,-1,3.8902,ILI+_FLU_A
2025,2,IT,quantile,0.9,0,5.1613,ILI+_FLU_A
2025,2,IT,quantile,0.9,1,6.435,ILI+_FLU_A
2025,2,IT,quantile,0.9,2,7.5586,ILI+_FLU_A
2025,2,IT,quantile,0.9,3,8.4304,ILI+_FLU_A
2025,2,IT,quantile,0.9,4,8.757,ILI+_FLU_A
2025,2,IT,quantile,0.95,-1,3.9525,ILI+_FLU_A
2025,2,IT,quantile,0.95,0,5.2901,ILI+_FLU_A
2025,2,IT,quantile,0.95,1,6.7082,ILI+_FLU_A
2025,2,IT,quantile,0.95,2,8.0189,ILI+_FLU_A
2025,2,IT,quantile,0.95,3,9.0318,ILI+_FLU_A
2025,2,IT,quantile,0.95,4,9.5166,ILI+_FLU_A
2025,2,IT,quantile,0.975,-1,4.0024,ILI+_FLU_A
2025,2,IT,quantile,0.975,0,5.4614,ILI+_FLU_A
2025,2,IT,quantile,0.975,1,7.0272,ILI+_FLU_A
2025,2,IT,quantile,0.975,2,8.5156,ILI+_FLU_A
2025,2,IT,quantile,0.975,3,9.5203,ILI+_FLU_A
2025,2,IT,quantile,0.975,4,10.1769,ILI+_FLU_A
2025,2,IT,quantile,0.99,-1,4.1646,ILI+_FLU_A
2025,2,IT,quantile,0.99,0,5.749,ILI+_FLU_A
2025,2,IT,quantile,0.99,1,7.388,ILI+_FLU_A
2025,2,IT,quantile,0.99,2,9.0223,ILI+_FLU_A
2025,2,IT,quantile,0.99,3,10.3366,ILI+_FLU_A
2025,2,IT,quantile,0.99,4,10.8989,ILI+_FLU_A
