n_weeks,regione,consolidation
18,lazio,99.622662278267
18,liguria,96.57142613782685
18,lombardia,97.15208770659454
18,marche,92.02282570302995
18,molise,97.03170097360311
18,pa_bolzano,89.7222544012427
18,pa_trento,87.7499187128107
18,piemonte,97.0450183945761
18,puglia,95.92450707870493
18,sardegna,93.95390364082184
18,sicilia,98.29364226761219
18,toscana,96.44354895999307
18,umbria,97.32246428793647
18,valle_d_aosta,93.72952929127577
18,veneto,99.69621742294585
19,abruzzo,98.7468128275647
19,basilicata,NA
19,campania,93.2351862460227
19,emilia_romagna,96.5103403351809
19,friuli_venezia_giulia,84.09520212562613
19,lazio,99.58492850609369
19,liguria,96.7271194749104
19,lombardia,96.87678543511839
19,marche,91.6438285889722
19,molise,99.5537149214983
19,pa_bolzano,89.32867815875468
19,pa_trento,89.37960507349116
19,piemonte,96.9641550220094
19,puglia,95.51695778657543
19,sardegna,94.24623360068813
19,sicilia,98.1230064943734
19,toscana,96.25056847510274
19,umbria,97.97845552491057
19,valle_d_aosta,94.56465982658095
19,veneto,99.6922767065491
20,abruzzo,98.7494812951633
20,basilicata,NA
20,campania,92.7529723847676
20,emilia_romagna,96.37349930811953
20,friuli_venezia_giulia,84.23555575799165
20,lazio,99.9290931007587
20,liguria,97.5231536536015
20,lombardia,96.59870125807508
20,marche,92.89960070425198
20,molise,99.50412769055367
20,pa_bolzano,89.77211256794929
20,pa_trento,89.00090959190483
20,piemonte,97.32053410173336
20,puglia,95.22777656972782
20,sardegna,98.27729903359912
20,sicilia,97.91748627071433
20,toscana,96.20094398382882
20,umbria,98.99860885748465
20,valle_d_aosta,97.73151764245607
20,veneto,99.82867560901464
21,abruzzo,98.66712513552875
21,basilicata,NA
21,campania,92.64529722843227
21,emilia_romagna,96.15743031290512
21,friuli_venezia_giulia,82.10584418441844
21,lazio,99.92022973835354
21,liguria,97.47973842623192
21,lombardia,96.5330066271294
21,marche,93.3047558606335
21,molise,99.44214365187288
21,pa_bolzano,88.49362663894294
21,pa_trento,90.27444620788782
21,piemonte,97.6671816297843
21,puglia,94.8055919351014
21,sardegna,98.31346368303576
21,sicilia,97.67139120776014
21,toscana,95.99238681805362
21,umbria,99.3102548192048
21,valle_d_aosta,98.90464516337875
21,veneto,99.903661088419085
22,abruzzo,98.71443671877044
22,basilicata,NA
22,campania,91.59462540392259
22,emilia_romagna,95.92643522625242
22,friuli_venezia_giulia,80.184456845684565
22,lazio,99.90883398668977
22,liguria,97.29161687890576
22,lombardia,96.48236442719465
22,marche,92.71437115260365
22,molise,100
22,pa_bolzano,87.82550866001851
22,pa_trento,91.90800756734725
22,piemonte,98.04307661426782
22,puglia,95.83292936961965
22,sardegna,98.07252992346945
22,sicilia,97.33873280886873
22,toscana,95.75699298839797
22,umbria,99.79141916022625
22,valle_d_aosta,98.74816590100428
22,veneto,99.89658644000215
23,abruzzo,98.50017617189886
23,basilicata,NA
23,campania,90.1937296379097
23,emilia_romagna,95.42815659264164
23,friuli_venezia_giulia,77.32839049438775
23,lazio,99.89363965113806
23,liguria,96.8402196920567
23,lombardia,96.32160175620572
23,marche,93.63614092786727
23,molise,100
23,pa_bolzano,85.7964267700216
23,pa_trento,91.91587055173201
23,piemonte,98.13345456376054
23,puglia,97.85347931297598
23,sardegna,97.75128491071435
23,sicilia,97.09754698444137
23,toscana,95.51039215505135
23,umbria,100
23,valle_d_aosta,98.85056541067804
23,veneto,99.68043263241336
24,abruzzo,98.43819881758388
24,campania,88.23247556549164
24,emilia_romagna,94.6755684377952
24,friuli_venezia_giulia,75.24915144808168
24,lazio,99.87236758136567
24,liguria,97.1184117716451
24,lombardia,96.60384026482811
24,marche,92.92563477364934
24,molise,100
24,pa_bolzano,70.81170552480056
24,pa_trento,90.78353658191017
24,piemonte,98.76816509827749
24,puglia,97.99423175157419
24,sardegna,97.30154189285722
24,sicilia,96.6798402853216
24,toscana,97.87732739210834
24,umbria,100
24,valle_d_aosta,98.62067849281365
24,veneto,99.56542728643872
25,abruzzo,98.992812293265
25,campania,53.547470986116295
25,emilia_romagna,96.096068621978
25,friuli_venezia_giulia,78.37685032894731
25,lazio,100
25,liguria,96.41961972970846
25,lombardia,96.88399397338002
25,marche,95.89170409033717
25,molise,100
25,pa_trento,93.65781776444895
25,piemonte,95.14102399497575
25,puglia,98.033262862726
25,sardegna,86.5077094642861
25,sicilia,87.04876320678746
25,toscana,97.48342499773383
25,umbria,100
25,valle_d_aosta,100
25,veneto,99.74454063771344
