anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,4,IT,quantile,0.01,-1,1.4311,ILI+_FLU_B
2025,4,IT,quantile,0.01,0,1.6969,ILI+_FLU_B
2025,4,IT,quantile,0.01,1,1.9509,ILI+_FLU_B
2025,4,IT,quantile,0.01,2,2.1532,ILI+_FLU_B
2025,4,IT,quantile,0.01,3,2.2646,ILI+_FLU_B
2025,4,IT,quantile,0.01,4,2.3322,ILI+_FLU_B
2025,4,IT,quantile,0.025,-1,1.4571,ILI+_FLU_B
2025,4,IT,quantile,0.025,0,1.7288,ILI+_FLU_B
2025,4,IT,quantile,0.025,1,1.9977,ILI+_FLU_B
2025,4,IT,quantile,0.025,2,2.2135,ILI+_FLU_B
2025,4,IT,quantile,0.025,3,2.3645,ILI+_FLU_B
2025,4,IT,quantile,0.025,4,2.4364,ILI+_FLU_B
2025,4,IT,quantile,0.05,-1,1.484,ILI+_FLU_B
2025,4,IT,quantile,0.05,0,1.7635,ILI+_FLU_B
2025,4,IT,quantile,0.05,1,2.0343,ILI+_FLU_B
2025,4,IT,quantile,0.05,2,2.278,ILI+_FLU_B
2025,4,IT,quantile,0.05,3,2.4655,ILI+_FLU_B
2025,4,IT,quantile,0.05,4,2.5789,ILI+_FLU_B
2025,4,IT,quantile,0.1,-1,1.5312,ILI+_FLU_B
2025,4,IT,quantile,0.1,0,1.8224,ILI+_FLU_B
2025,4,IT,quantile,0.1,1,2.107,ILI+_FLU_B
2025,4,IT,quantile,0.1,2,2.3589,ILI+_FLU_B
2025,4,IT,quantile,0.1,3,2.557,ILI+_FLU_B
2025,4,IT,quantile,0.1,4,2.6845,ILI+_FLU_B
2025,4,IT,quantile,0.15,-1,1.5554,ILI+_FLU_B
2025,4,IT,quantile,0.15,0,1.8603,ILI+_FLU_B
2025,4,IT,quantile,0.15,1,2.1565,ILI+_FLU_B
2025,4,IT,quantile,0.15,2,2.4272,ILI+_FLU_B
2025,4,IT,quantile,0.15,3,2.637,ILI+_FLU_B
2025,4,IT,quantile,0.15,4,2.7852,ILI+_FLU_B
