anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,15,IT,quantile,0.01,-1,0.5023,ILI+_FLU_B
2025,15,IT,quantile,0.01,0,0.3801,ILI+_FLU_B
2025,15,IT,quantile,0.01,1,0.2871,ILI+_FLU_B
2025,15,IT,quantile,0.01,2,0.2172,ILI+_FLU_B
2025,15,IT,quantile,0.01,3,0.1666,ILI+_FLU_B
2025,15,IT,quantile,0.01,4,0.13,ILI+_FLU_B
2025,15,IT,quantile,0.025,-1,0.5152,ILI+_FLU_B
2025,15,IT,quantile,0.025,0,0.3955,ILI+_FLU_B
2025,15,IT,quantile,0.025,1,0.3041,ILI+_FLU_B
2025,15,IT,quantile,0.025,2,0.2338,ILI+_FLU_B
2025,15,IT,quantile,0.025,3,0.1796,ILI+_FLU_B
2025,15,IT,quantile,0.025,4,0.1398,ILI+_FLU_B
2025,15,IT,quantile,0.05,-1,0.531,ILI+_FLU_B
2025,15,IT,quantile,0.05,0,0.4137,ILI+_FLU_B
2025,15,IT,quantile,0.05,1,0.3188,ILI+_FLU_B
2025,15,IT,quantile,0.05,2,0.2478,ILI+_FLU_B
2025,15,IT,quantile,0.05,3,0.1964,ILI+_FLU_B
2025,15,IT,quantile,0.05,4,0.156,ILI+_FLU_B
2025,15,IT,quantile,0.1,-1,0.5597,ILI+_FLU_B
2025,15,IT,quantile,0.1,0,0.4396,ILI+_FLU_B
2025,15,IT,quantile,0.1,1,0.3461,ILI+_FLU_B
2025,15,IT,quantile,0.1,2,0.273,ILI+_FLU_B
2025,15,IT,quantile,0.1,3,0.2165,ILI+_FLU_B
2025,15,IT,quantile,0.1,4,0.1727,ILI+_FLU_B
2025,15,IT,quantile,0.15,-1,0.5786,ILI+_FLU_B
2025,15,IT,quantile,0.15,0,0.4571,ILI+_FLU_B
2025,15,IT,quantile,0.15,1,0.362,ILI+_FLU_B
2025,15,IT,quantile,0.15,2,0.2856,ILI+_FLU_B
2025,15,IT,quantile,0.15,3,0.227,ILI+_FLU_B
2025,15,IT,quantile,0.15,4,0.1818,ILI+_FLU_B
2025,15,IT,quantile,0.2,-1,0.5915,ILI+_FLU_B
2025,15,IT,quantile,0.2,0,0.4746,ILI+_FLU_B
2025,15,IT,quantile,0.2,1,0.3743,ILI+_FLU_B
2025,15,IT,quantile,0.2,2,0.2996,ILI+_FLU_B
2025,15,IT,quantile,0.2,3,0.2394,ILI+_FLU_B
2025,15,IT,quantile,0.2,4,0.1917,ILI+_FLU_B
2025,15,IT,quantile,0.25,-1,0.5935,ILI+_FLU_B
2025,15,IT,quantile,0.25,0,0.4874,ILI+_FLU_B
2025,15,IT,quantile,0.25,1,0.3868,ILI+_FLU_B
2025,15,IT,quantile,0.25,2,0.3097,ILI+_FLU_B
2025,15,IT,quantile,0.25,3,0.2501,ILI+_FLU_B
2025,15,IT,quantile,0.25,4,0.2021,ILI+_FLU_B
2025,15,IT,quantile,0.3,-1,0.5958,ILI+_FLU_B
2025,15,IT,quantile,0.3,0,0.4975,ILI+_FLU_B
2025,15,IT,quantile,0.3,1,0.3979,ILI+_FLU_B
2025,15,IT,quantile,0.3,2,0.3199,ILI+_FLU_B
2025,15,IT,quantile,0.3,3,0.2608,ILI+_FLU_B
2025,15,IT,quantile,0.3,4,0.2135,ILI+_FLU_B
2025,15,IT,quantile,0.35,-1,0.5983,ILI+_FLU_B
2025,15,IT,quantile,0.35,0,0.505,ILI+_FLU_B
2025,15,IT,quantile,0.35,1,0.4084,ILI+_FLU_B
2025,15,IT,quantile,0.35,2,0.3333,ILI+_FLU_B
2025,15,IT,quantile,0.35,3,0.2727,ILI+_FLU_B
2025,15,IT,quantile,0.35,4,0.2244,ILI+_FLU_B
2025,15,IT,quantile,0.4,-1,0.6001,ILI+_FLU_B
2025,15,IT,quantile,0.4,0,0.5201,ILI+_FLU_B
2025,15,IT,quantile,0.4,1,0.4276,ILI+_FLU_B
2025,15,IT,quantile,0.4,2,0.359,ILI+_FLU_B
2025,15,IT,quantile,0.4,3,0.3002,ILI+_FLU_B
2025,15,IT,quantile,0.4,4,0.2509,ILI+_FLU_B
2025,15,IT,quantile,0.45,-1,0.6019,ILI+_FLU_B
2025,15,IT,quantile,0.45,0,0.532,ILI+_FLU_B
2025,15,IT,quantile,0.45,1,0.477,ILI+_FLU_B
2025,15,IT,quantile,0.45,2,0.4282,ILI+_FLU_B
2025,15,IT,quantile,0.45,3,0.3843,ILI+_FLU_B
2025,15,IT,quantile,0.45,4,0.3454,ILI+_FLU_B
2025,15,IT,quantile,0.5,-1,0.6037,ILI+_FLU_B
2025,15,IT,quantile,0.5,0,0.5355,ILI+_FLU_B
2025,15,IT,quantile,0.5,1,0.4811,ILI+_FLU_B
2025,15,IT,quantile,0.5,2,0.4333,ILI+_FLU_B
2025,15,IT,quantile,0.5,3,0.3907,ILI+_FLU_B
2025,15,IT,quantile,0.5,4,0.3527,ILI+_FLU_B
2025,15,IT,quantile,0.55,-1,0.6053,ILI+_FLU_B
2025,15,IT,quantile,0.55,0,0.5397,ILI+_FLU_B
2025,15,IT,quantile,0.55,1,0.4874,ILI+_FLU_B
2025,15,IT,quantile,0.55,2,0.4407,ILI+_FLU_B
2025,15,IT,quantile,0.55,3,0.399,ILI+_FLU_B
2025,15,IT,quantile,0.55,4,0.3614,ILI+_FLU_B
2025,15,IT,quantile,0.6,-1,0.6069,ILI+_FLU_B
2025,15,IT,quantile,0.6,0,0.5439,ILI+_FLU_B
2025,15,IT,quantile,0.6,1,0.4934,ILI+_FLU_B
2025,15,IT,quantile,0.6,2,0.4474,ILI+_FLU_B
2025,15,IT,quantile,0.6,3,0.4071,ILI+_FLU_B
2025,15,IT,quantile,0.6,4,0.3707,ILI+_FLU_B
2025,15,IT,quantile,0.65,-1,0.6086,ILI+_FLU_B
2025,15,IT,quantile,0.65,0,0.5475,ILI+_FLU_B
2025,15,IT,quantile,0.65,1,0.4988,ILI+_FLU_B
2025,15,IT,quantile,0.65,2,0.4546,ILI+_FLU_B
2025,15,IT,quantile,0.65,3,0.4147,ILI+_FLU_B
2025,15,IT,quantile,0.65,4,0.3788,ILI+_FLU_B
2025,15,IT,quantile,0.7,-1,0.6106,ILI+_FLU_B
2025,15,IT,quantile,0.7,0,0.5515,ILI+_FLU_B
2025,15,IT,quantile,0.7,1,0.5037,ILI+_FLU_B
2025,15,IT,quantile,0.7,2,0.4598,ILI+_FLU_B
2025,15,IT,quantile,0.7,3,0.4208,ILI+_FLU_B
2025,15,IT,quantile,0.7,4,0.3852,ILI+_FLU_B
2025,15,IT,quantile,0.75,-1,0.6141,ILI+_FLU_B
2025,15,IT,quantile,0.75,0,0.5547,ILI+_FLU_B
2025,15,IT,quantile,0.75,1,0.5079,ILI+_FLU_B
2025,15,IT,quantile,0.75,2,0.4664,ILI+_FLU_B
2025,15,IT,quantile,0.75,3,0.4284,ILI+_FLU_B
2025,15,IT,quantile,0.75,4,0.3939,ILI+_FLU_B
2025,15,IT,quantile,0.8,-1,0.6218,ILI+_FLU_B
2025,15,IT,quantile,0.8,0,0.5567,ILI+_FLU_B
2025,15,IT,quantile,0.8,1,0.5119,ILI+_FLU_B
2025,15,IT,quantile,0.8,2,0.4713,ILI+_FLU_B
2025,15,IT,quantile,0.8,3,0.4344,ILI+_FLU_B
2025,15,IT,quantile,0.8,4,0.4001,ILI+_FLU_B
2025,15,IT,quantile,0.85,-1,0.628,ILI+_FLU_B
2025,15,IT,quantile,0.85,0,0.5606,ILI+_FLU_B
2025,15,IT,quantile,0.85,1,0.5164,ILI+_FLU_B
2025,15,IT,quantile,0.85,2,0.4767,ILI+_FLU_B
2025,15,IT,quantile,0.85,3,0.4407,ILI+_FLU_B
2025,15,IT,quantile,0.85,4,0.4077,ILI+_FLU_B
2025,15,IT,quantile,0.9,-1,0.6314,ILI+_FLU_B
2025,15,IT,quantile,0.9,0,0.5642,ILI+_FLU_B
2025,15,IT,quantile,0.9,1,0.522,ILI+_FLU_B
2025,15,IT,quantile,0.9,2,0.4833,ILI+_FLU_B
2025,15,IT,quantile,0.9,3,0.4479,ILI+_FLU_B
2025,15,IT,quantile,0.9,4,0.4151,ILI+_FLU_B
2025,15,IT,quantile,0.95,-1,0.6372,ILI+_FLU_B
2025,15,IT,quantile,0.95,0,0.5703,ILI+_FLU_B
2025,15,IT,quantile,0.95,1,0.529,ILI+_FLU_B
2025,15,IT,quantile,0.95,2,0.4925,ILI+_FLU_B
2025,15,IT,quantile,0.95,3,0.4583,ILI+_FLU_B
2025,15,IT,quantile,0.95,4,0.4275,ILI+_FLU_B
2025,15,IT,quantile,0.975,-1,0.6527,ILI+_FLU_B
2025,15,IT,quantile,0.975,0,0.5768,ILI+_FLU_B
2025,15,IT,quantile,0.975,1,0.5358,ILI+_FLU_B
2025,15,IT,quantile,0.975,2,0.5001,ILI+_FLU_B
2025,15,IT,quantile,0.975,3,0.4679,ILI+_FLU_B
2025,15,IT,quantile,0.975,4,0.4378,ILI+_FLU_B
2025,15,IT,quantile,0.99,-1,0.679,ILI+_FLU_B
2025,15,IT,quantile,0.99,0,0.5858,ILI+_FLU_B
2025,15,IT,quantile,0.99,1,0.5456,ILI+_FLU_B
2025,15,IT,quantile,0.99,2,0.5133,ILI+_FLU_B
2025,15,IT,quantile,0.99,3,0.4804,ILI+_FLU_B
2025,15,IT,quantile,0.99,4,0.4542,ILI+_FLU_B
