anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,3,IT,quantile,0.6,2,2.416,ILI+_FLU_B
2025,3,IT,quantile,0.6,3,2.7634,ILI+_FLU_B
2025,3,IT,quantile,0.6,4,3.045,ILI+_FLU_B
2025,3,IT,quantile,0.65,-1,1.3425,ILI+_FLU_B
2025,3,IT,quantile,0.65,0,1.6858,ILI+_FLU_B
2025,3,IT,quantile,0.65,1,2.0668,ILI+_FLU_B
2025,3,IT,quantile,0.65,2,2.4473,ILI+_FLU_B
2025,3,IT,quantile,0.65,3,2.8015,ILI+_FLU_B
2025,3,IT,quantile,0.65,4,3.099,ILI+_FLU_B
2025,3,IT,quantile,0.7,-1,1.3496,ILI+_FLU_B
2025,3,IT,quantile,0.7,0,1.7016,ILI+_FLU_B
2025,3,IT,quantile,0.7,1,2.0861,ILI+_FLU_B
2025,3,IT,quantile,0.7,2,2.4803,ILI+_FLU_B
2025,3,IT,quantile,0.7,3,2.8532,ILI+_FLU_B
2025,3,IT,quantile,0.7,4,3.1581,ILI+_FLU_B
2025,3,IT,quantile,0.75,-1,1.3572,ILI+_FLU_B
2025,3,IT,quantile,0.75,0,1.7178,ILI+_FLU_B
2025,3,IT,quantile,0.75,1,2.1196,ILI+_FLU_B
2025,3,IT,quantile,0.75,2,2.5259,ILI+_FLU_B
2025,3,IT,quantile,0.75,3,2.9102,ILI+_FLU_B
2025,3,IT,quantile,0.75,4,3.2259,ILI+_FLU_B
2025,3,IT,quantile,0.8,-1,1.3654,ILI+_FLU_B
2025,3,IT,quantile,0.8,0,1.736,ILI+_FLU_B
2025,3,IT,quantile,0.8,1,2.1432,ILI+_FLU_B
2025,3,IT,quantile,0.8,2,2.5637,ILI+_FLU_B
2025,3,IT,quantile,0.8,3,2.9516,ILI+_FLU_B
2025,3,IT,quantile,0.8,4,3.2858,ILI+_FLU_B
2025,3,IT,quantile,0.85,-1,1.373,ILI+_FLU_B
2025,3,IT,quantile,0.85,0,1.7524,ILI+_FLU_B
2025,3,IT,quantile,0.85,1,2.1735,ILI+_FLU_B
2025,3,IT,quantile,0.85,2,2.6055,ILI+_FLU_B
2025,3,IT,quantile,0.85,3,3.0107,ILI+_FLU_B
2025,3,IT,quantile,0.85,4,3.3521,ILI+_FLU_B
2025,3,IT,quantile,0.9,-1,1.38,ILI+_FLU_B
2025,3,IT,quantile,0.9,0,1.7724,ILI+_FLU_B
2025,3,IT,quantile,0.9,1,2.2003,ILI+_FLU_B
2025,3,IT,quantile,0.9,2,2.6433,ILI+_FLU_B
2025,3,IT,quantile,0.9,3,3.0729,ILI+_FLU_B
2025,3,IT,quantile,0.9,4,3.4618,ILI+_FLU_B
2025,3,IT,quantile,0.95,-1,1.3841,ILI+_FLU_B
2025,3,IT,quantile,0.95,0,1.7825,ILI+_FLU_B
2025,3,IT,quantile,0.95,1,2.2328,ILI+_FLU_B
2025,3,IT,quantile,0.95,2,2.7097,ILI+_FLU_B
2025,3,IT,quantile,0.95,3,3.1878,ILI+_FLU_B
2025,3,IT,quantile,0.95,4,3.6237,ILI+_FLU_B
